colour	x	y	group	showSelectedlegendcolour
#FF0000	0	2.12590131665859	1	test
#FF0000	1	1.77861553546251	1	test
#FF0000	2	0.154190233600052	1	test
#FF0000	3	0.253245009345944	1	test
#FF0000	4	0.585271636336021	1	test
#FF0000	5	0.471611120160827	1	test
#FF0000	6	1.56214552622701	1	test
#FF0000	7	3.44828886328714	1	test
#FF0000	8	3.28018254372738	1	test
#FF0000	9	4.86475412964545	1	test
#000000	0	2.1223497005995	2	train
#000000	1	1.70022694972553	2	train
#000000	2	-0.160683944975773	2	train
#000000	3	-0.184233138722545	2	train
#000000	4	-0.207665518753636	2	train
#000000	5	-0.334689107609078	2	train
#000000	6	-0.410778777209772	2	train
#000000	7	-0.693409081577031	2	train
#000000	8	-1.04747384742091	2	train
#000000	9	-1.34308524627423	2	train
